HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Thu Sep 7 15:37:46 2017,57,123,54,64,99
Thu Sep 7 15:41:46 2017,57,123,54,64,99
Thu Sep 7 15:41:46 2017,57,123,54,64,99
Thu Sep 7 15:45:46 2017,57,123,54,64,99
Thu Sep 7 15:45:46 2017,57,123,54,64,99
Thu Sep 7 15:49:46 2017,57,123,54,64,99
Thu Sep 7 15:49:46 2017,57,123,54,64,99
Thu Sep 7 15:53:46 2017,57,123,54,64,99
Thu Sep 7 15:53:46 2017,57,123,54,64,99
Thu Sep 7 15:57:47 2017,57,123,54,64,99
Thu Sep 7 15:57:47 2017,57,123,54,64,99
Thu Sep 7 16:01:47 2017,57,123,54,64,99
Thu Sep 7 16:01:47 2017,57,123,54,64,99
Thu Sep 7 16:05:47 2017,57,123,54,64,99
